rating_numeric,rating_rolling_mean,rating_rolling_std,rating_momentum,is_downgrade,is_upgrade,macro_10y_treasury_rate,macro_fed_funds_rate,yield_curve_spread,currentRatio,quickRatio,debtRatio,netProfitMargin,returnOnAssets,returnOnEquity,approximated_ytm,target_rating,Name,Year
0,0.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,1.733519175,1.145873281,0.690430576,-0.04884227,-0.025528206,-0.082463589,39.7408,0,Lsb Industries Inc.,2015
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,1.506461753,0.925735575,0.612322696,0.299446054,0.088292061,0.227746273,39.2515,0,Lsb Industries Inc.,2016
1,1.0,0.0,0.0,0,0,1.8025,0.14,1.6625,2.278796333,1.008170586,0.536188099,0.042069168,0.094005867,0.202681016,39.773,1,LyondellBasell Industries NV,2012
4,2.5,2.1213203435596424,0.0,0,1,2.3508333333333336,0.1075,2.2433333333333336,2.410910518,1.34399529,0.540090834,0.062797672,0.11758877,0.255678248,39.8228,4,LyondellBasell Industries NV,2013
4,3.0,1.7320508075688772,0.0,0,0,2.3508333333333336,0.1075,2.2433333333333336,2.649546279,1.57876588,0.542896916,0.087535745,0.141292402,0.309104023,39.8444,4,LyondellBasell Industries NV,2013
4,4.0,0.0,3.0,0,0,2.540833333333333,0.08916666666666667,2.451666666666666,2.141806143,1.075961008,0.657620558,0.091519032,0.171889799,0.502044744,39.7679,4,LyondellBasell Industries NV,2014
4,4.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,2.250862267,1.000459876,0.712176473,0.136734382,0.196686734,0.683358779,39.8621,4,LyondellBasell Industries NV,2016
0,0.0,0.0,0.0,0,0,1.8025,0.14,1.6625,2.039577836,2.039577836,0.936739478,0.84714194,-0.049082722,-0.775882353,41.2797,0,"MBIA, Inc.",2012
0,0.0,0.0,0.0,0,0,1.8025,0.14,1.6625,0.60282523,0.60282523,0.853940342,0.506776181,0.056803535,0.388906398,41.265,0,"MBIA, Inc.",2012
1,0.3333333333333333,0.5773502691896258,0.0,0,1,2.540833333333333,0.08916666666666667,2.451666666666666,4.366197183,4.366197183,0.806641892,0.206782465,0.014746653,0.076266016,41.1518,1,"MBIA, Inc.",2014
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,0.557453015,0.469815609,1.356014463,-0.028167262,-0.023491275,0.065984047,39.5941,0,MDC Partners Inc.,2016
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,0.609827097,0.525150687,1.360213595,-0.034595554,-0.030393476,0.084376259,39.5667,0,MDC Partners Inc.,2016
0,0.0,0.0,0.0,0,0,1.8025,0.14,1.6625,11.29242917,11.29242917,0.834149549,-0.32300657,-0.06733322,-0.405987559,41.3217,0,MGIC Investment Corporation,2012
